restaurant_name,locality,address,cuisines_0,cuisines_1,cuisines_2,cuisines_3,cuisines_4,cuisines_5,cuisines_6,cuisines_7
The Pump House,JP Nagar,607 15th Cross Outer Ring Road 1st Phase JP Nagar Bangalore,Continental, Finger Food, , , , , , 
Ovenstory Pizza,Old Airport Road,104 B Block First Floor Hal Exit Airport Road Konena Agrahara Blue Dark Connection Point Airport Exit Road Old Airport Road Bangalore,Pizza, , , , , , , 
U.S. Pizza Restaurant,Old Airport Road,97 Kemp Fort Mall Ramagiri Murgesh Pallya Old Airport Road Bangalore,Pizza, Fast Food, , , , , , 
A2B - Adyar Ananda Bhavan,Varthur Main Road Whitefield,710 Thubarahalli Varthur Main Road Whitefield Bangalore,South Indian, Street Food, Mithai, , , , , 
Shruti Delicacy,Koramangala 8th Block,45 80 Feet Road Koramangala 8th Block Bangalore,South Indian, North Indian, Chinese, Beverages, , , , 
Snacks Express,BTM,16/17 21st Main 3rd B Cross 2nd Stage BTM Bangalore,Fast Food, Street Food, Beverages, , , , , 
Feast - Sheraton Grand Bengaluru Whitefield Hotel &...,Sheraton Grand Bengaluru Whitefield,Sheraton Grand Bengaluru Whitefield Hotel & Convention Center Prestige Shantiniketan Whitefield Bangalore,Continental, Asian, South Indian, North Indian, , , , 
Chandni Chowk 2 Bangalore,Jeevan Bhima Nagar,Delivery Only,North Indian, Chinese, Rolls, Beverages, , , , 
Punjab Ki Rasoi,Electronic City,591 47/12 Near Velankani Electronic City Bangalore,North Indian, Mughlai, , , , , , 
Bucket Biryani,Frazer Town,61 MM Road Near SBI ATM Frazer Town Bangalore,Biryani, North Indian, Chinese, , , , , 
Amma's Pastries,Varthur Main Road Whitefield,710 Thubarahalli Varthur Main Road Whitefield Bangalore,Bakery, Desserts, , , , , , 
Millers 46,Vasanth Nagar,46 Millers Road Vasanth Nagar Bangalore,American, Continental, Steak, , , , , 
Chai Garam,Sahakara Nagar,492 60ft Road F-Block Sahakara Nagar Bangalore,Beverages, Street Food, Burger, Sandwich, , , , 
Sangam Mess,Kammanahalli,7 3rd Cross Chinnappa Layout Opposite Sansar Collections Kammanahalli Bangalore,South Indian, Biryani, North Indian, , , , , 
Paradise Biryani,HSR,438 Sector-4 HSR Layout HSR Bangalore,Biryani, North Indian, Kebab, Desserts, Beverages, , , 
Cafe Azzure,MG Road,52 Brigade Road Haridevpur Shanthala Nagar MG Road Bangalore,Cafe, Continental, Italian, Burger, Desserts, Beverages, Sandwich, 
K R Catering Services,Whitefield,136 3rd Cross Vijayanagar Whitefield Bangalore,South Indian, Rolls, Biryani, Beverages, , , , 
Meghana Biriyanis,Nagawara,82 Opposite Manyatha Tech Park Outer Ring Road Nagawara Bangalore,Andhra, Biryani, Chinese, , , , , 
Biryani Trip,Bommanahalli,Delivery Only,Biryani, Kebab, , , , , , 
DCP Desi Chai Paratha,ITPL Main Road Whitefield,Kundanhalli Gate ITPL Main Road Near Hyper City Mall Whitefield Bangalore,North Indian, , , , , , , 
Hotel Fanoos,Richmond Road,17 Hosur Road Near Johnson Market Richmond Road Bangalore,Biryani, Rolls, Kebab, Fast Food, , , , 
Royal Restaurant,Shivajinagar,6 HKP Road Broadway Road Shivajinagar Bangalore,North Indian, Chinese, , , , , , 
Kalinga Spices,Marathahalli,1st Floor S.S. Towers South Block Sai Baba Temple Road Kundanhalli Gate Munnekolala Mahadevapura Marathahalli Bangalore,North Indian, , , , , , , 
Bathinda Tandoor,BTM,19th B Cross 7th Main Near Alliance University NS Palya 2nd Stage BTM Bangalore,North Indian, Mughlai, , , , , , 
